,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987
period,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY
marketCap,107889500000,127052395287.3,73650661286.1,61866088164.600006,63180758517.2,71234801071.2,55382922383.2,33571950920.5,33851939348.500004,32497651156.5,21033740254.8,14282280368.1,21187891071.899998,21143241040.399998,15601320229.6,25947839396.000004,23700980385.8,19659239607.6,14907300537.2,16895780268.4,12412120407.400002,18604150274.6,37098927793.4897,28501767939.00555,27916031250,9582892014.29175,6284883056.5422,4091769193.6338754,3367213412.5575,1872867248.0960221,1155226600,1083703500,270507400,277407585,256109689.00116602,116982020.00000001
enterpriseValue,105572500000,87846395287.3,46934661286.100006,39951088164.600006,42068758517.2,76770801071.2,47362922383.2,24408950920.5,24304939348.500004,26583651156.5,9907740254.8,7604280368.1,-4486108928.100002,-3958758959.6000023,11042320229.6,20082839396.000004,19581980385.8,18515239607.6,13377300537.2,15831780268.4,10448120407.400002,15505150274.599998,34905932793.4897,26877667939.00555,27111131250,9146492014.29175,6160483056.5422,3908569193.6338754,3275413412.5575,1901767248.0960221,1102626600,1052303500,305807400,304507585,362109689.001166,216982020
peRatio,15.020116942781568,21.69981132148591,22.32514740409215,16.702507603833695,18.015614062503563,30.26117292744265,29.318646047220753,23.2010718178991,25.625994964799396,30.3432783907563,22.66566837801724,16.530417092708333,46.66936359449339,26.865617586276997,12.872376427062706,10.78015762193602,19.316202433414833,27.116192562206894,52.123428451748254,35.79614463644068,113.8726642880734,93.48819233467337,51.65995874532254,48.39831539990754,80.10338952654232,35.45280064480854,26.881450199068436,23.706658132293597,24.887017092073172,15.91221111381497,14.226928571428571,21.892999999999997,16.101630952380955,14.67765,34.60941743259,14.266100000000002
priceToSalesRatio,5.196488777574415,6.860280523072355,6.29977429527842,5.770552016099244,6.2357637699565736,8.265815858807148,7.411069501298006,5.271149461532422,5.591664907251405,5.980428994571218,4.293476271647275,3.013139318164557,5.1526972451118676,4.92734584954556,3.029382568854369,5.195802842611134,5.500343556695289,4.403951525,3.5476679050928133,4.13402991641791,3.0017219848609433,4.2738686594532505,6.41001466631103,7.225149041524425,10.202482000584752,4.168649736511114,3.395582179773191,2.8817305399210333,3.1628906749553822,1.9407950757471732,1.5413296864576385,1.9029034240561895,0.6982638100154879,0.8019878143972247,,
pocfratio,52.449927078269326,59.9869666134561,10.74878302482487,6.634433047142092,5.072315230989081,56.40126767315915,20.805004651840722,26.94378083507223,14.417350659497446,19.62418548097826,16.614328795260665,5.796380019521104,-2354.2101191,14.713459318302018,7800.6601148,14.861305495990837,13.466466128295455,29.12479941866667,21.73075880058309,2413.682895485714,73.44449945207101,-31.85642170308219,22.629769800089605,24.133588432688864,38.87485204010583,35.74372254491514,17.570262948119094,16.545771102441872,16.353634835150558,14.209918422579834,9.571057166528583,10.109174440298506,5.2730487329434705,3.3382380866425994,7.532637911799,2.207207924528302
pfcfRatio,99.34576427255985,105.70082802603993,11.839038946487705,7.1795390698154815,5.315561039643278,82.5432225622248,23.913178921934367,34.25709277602041,17.37779227335729,23.097122357142858,18.813721158139533,6.253187551707531,-153.53544254999997,16.301650763608325,-83.87806575053763,16.443497716096328,13.933556958142269,35.422053347027024,30.29939133577236,-115.72452238630137,1379.1244897111112,-21.02163872836158,39.68529803716802,31.73916251559638,52.41462870822381,74.4591454101923,31.757872948672055,50.0828542672445,19.307416356407682,34.238889361901684,17.190872023809522,13.580244360902256,8.45335625,5.5928948588709675,9.485544037080222,2.9245505000000005
pbRatio,2.9471563592657346,2.2582676327704805,1.3137827557277917,2.8450718861623367,3.0566404701112724,3.8453333911578946,3.372688775543511,2.5049955917400384,2.8680792466745744,3.130493320152201,2.193528027406403,1.8514752875421312,3.403130592981047,4.167798352138774,3.8417434694902735,6.952797265809218,4.7326238789536745,4.417806653393258,3.398837331782946,3.7874423376821342,3.0945201713787087,4.468928723180398,8.771029278941379,12.534310189104865,19.54083105837883,8.368607121030259,7.354180969508776,6.465111697952087,7.210307093270878,4.938995907426218,4.463781298299845,5.423941441441441,1.7554016872160936,1.6156527955736752,1.6107527610136225,0.7798801333333334
ptbRatio,2.9471563592657346,2.2582676327704805,1.3137827557277917,2.8450718861623367,3.0566404701112724,3.8453333911578946,3.372688775543511,2.5049955917400384,2.8680792466745744,3.130493320152201,2.193528027406403,1.8514752875421312,3.403130592981047,4.167798352138774,3.8417434694902735,6.952797265809218,4.7326238789536745,4.417806653393258,3.398837331782946,3.7874423376821342,3.0945201713787087,4.468928723180398,8.771029278941379,12.534310189104865,19.54083105837883,8.368607121030259,7.354180969508776,6.465111697952087,7.210307093270878,4.938995907426218,4.463781298299845,5.423941441441441,1.7554016872160936,1.6156527955736752,1.6107527610136225,0.7798801333333334
evToSales,5.084890665639149,4.743325879443844,4.014597663681465,3.7264329973509938,4.1520685469009075,8.908192280250638,6.3378726593336,3.832462069477155,4.014691005698713,4.892096274659551,2.0224005419065114,1.604278558670886,-1.0909797976896893,-0.9225725843859246,2.144139850407767,4.021393551461755,4.544437313947552,4.1476791235663075,3.1835555776297,3.873692260435527,2.5267522146070136,3.5619458475993566,6.03110532986348,6.813442491128967,9.908314907535999,3.978811560071233,3.328371633552434,2.752707369275213,3.076661105163911,1.9707432622756706,1.471149566377585,1.8477673397717296,0.7893840991223542,0.8803341572708875,,
enterpriseValueOverEBITDA,8.666981364419998,9.39232281485085,8.818989343498686,6.380943645519886,7.3482547628296935,18.01708544266604,13.938470389405532,9.263358983111955,10.05999145219371,13.212550276590457,5.516559161915367,4.4159584019163765,-3.390860867800455,-2.446698986155749,4.591401342869023,5.124480580760399,7.395007698564954,8.923007039807228,13.115000526666668,12.81925527805668,12.350024122222225,9.763948535642317,12.060849877093428,14.172995116539523,19.832575896122897,8.17746268600067,6.708573512514647,5.559842380702525,6.865255528311675,5.052516599617487,3.184941074523397,2.878291849015317,0.9656059362172403,1.0392750341296928,7.044935583680272,4.69658051948052
