,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987
period,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY
pretaxProfitMargin,0.4521722377420287,0.4164686825053996,0.3678042939012916,0.4521966234493051,0.45025661271219897,0.42353214202831285,0.4005084972567911,0.3578269744072853,0.3493557978196234,0.31376518218623484,0.29597877117779137,0.2936708860759494,0.1894455252918288,0.29736658121649967,0.3937864077669903,0.3710452543051662,0.34253887212810397,0.2654569892473118,0.15349833412660638,0.17372155615365795,0.04062877871825877,0.031013094417643005,0.2127759604025882,0.24622287568444534,0.21073020977998685,0.19457978075517662,0.21292344264952184,0.19515458835129235,0.21068946083035883,0.2137823834196891,0.19506337558372247,0.1546971027216857,0.07511615900877645,0.09598149754264239,,
netProfitMargin,0.3459685964743281,0.31614470842332615,0.282182875716363,0.34549015950004663,0.3461310698776155,0.2731492225574379,0.25277666265221466,0.22719422201287487,0.2182028410967955,0.19709238130290763,0.18942641355378648,0.18227848101265823,0.11040856031128404,0.18340713120484736,0.23533980582524272,0.4819783740488586,0.2847528428869807,0.162410394265233,0.06806282722513089,0.11548813310496697,0.026360338573155985,0.04571559843785895,0.12408090950888366,0.14928513486108294,0.1273664205832907,0.11758308682791022,0.1263169269004268,0.12155785618705543,0.12708998684952094,0.12196891191709845,0.10833889259506338,0.08691834942932397,0.04336602994321115,0.05464006938421509,,
effectiveTaxRate,0.23487430762675757,0.24089200051860496,0.2327906976744186,0.23597359735973597,0.23125822007891275,0.35506849315068495,0.36886067490811897,0.36507240017551557,0.37541371158392434,0.3718475073313783,0.36,0.3793103448275862,0.417201540436457,0.3832288401253918,0.39349112426035504,0.39557474365893147,0.39634146341463417,0.38396624472573837,0.3581395348837209,0.3352112676056338,0.4226190476190476,0.4222222222222222,0.4168471415938474,0.393699166066097,0.39559486645855013,0.39570757880617036,0.4067495559502664,0.3771201732226633,0.3967900133749443,0.3969946679592826,0.44459644322845415,0.43813847900113506,0.422680412371134,0.4307228915662651,,
returnOnAssets,0.013018058183452585,0.008774559024083205,0.0060090089597802585,0.012598425196850394,0.011828711355158155,0.009676332037126862,0.008456328368765751,0.00787620156979719,0.008542310627125878,0.007456036535275198,0.006944184619529023,0.007959245714075152,0.004904502635900095,0.010433376198114833,0.023454281567489115,0.05692191268977912,0.0250449052906597,0.015311186669764103,0.0060679354167992704,0.010290847250686783,0.002745246190656089,0.004917951759588771,0.018822078510364153,0.0200995935028721,0.01565279100267692,0.016400007280802344,0.016968095915464335,0.016357088703563307,0.01708786420641837,0.017066627999709996,0.013750592697961118,0.00984898227183191,0.0040114613180515755,0.005430566330488751,0.0029214370311883143,0.0040594059405940595
returnOnEquity,0.19621394230769232,0.10406853770818152,0.05884766321798073,0.17033800873764085,0.16966618287373003,0.1270715249662618,0.11503562511418305,0.1079689598567378,0.11192069812759468,0.10316925151719487,0.09677755761810408,0.11200414830178895,0.07292001284934146,0.15513502858269268,0.2984486579660182,0.644962486602358,0.24500798722044728,0.16292134831460675,0.06520747834017328,0.10580587312261824,0.027175268012964347,0.04780206581791977,0.16978390018043782,0.2589823650996086,0.24394512109757804,0.23604925334031962,0.273578282237304,0.272712908832359,0.2897216274089936,0.3103902953586498,0.31375579598145287,0.24774774774774774,0.109020116807268,0.1100757134536983,0.04654088050314465,0.05466666666666667
returnOnCapitalEmployed,,0.011643758067072756,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
netIncomePerEBT,0.7651256923732425,0.7591079994813951,0.7672093023255814,0.764026402640264,0.7687417799210873,0.6449315068493151,0.6311393250918811,0.6349275998244844,0.6245862884160757,0.6281524926686217,0.64,0.6206896551724138,0.582798459563543,0.6167711598746082,0.5976331360946746,1.29897463572585,0.8313008130081301,0.6118143459915611,0.4434108527131783,0.6647887323943662,0.6488095238095238,1.474074074074074,0.5831528584061526,0.606300833933903,0.6044051335414499,0.6042924211938296,0.5932504440497336,0.6228798267773367,0.6032099866250558,0.5705283567619971,0.5554035567715458,0.5618615209988649,0.5773195876288659,0.5692771084337349,,
ebtPerEbit,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ebitPerRevenue,0,0.4164686825053996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
debtRatio,0.9336537555367072,0.9156848052512476,0.8978887413503239,0.9260386728116868,0.9302824454772971,0.9238512952473343,0.9264894821897817,0.9270512415767644,0.9236753275306838,0.9277300510992607,0.9282459199173881,0.9289379381500281,0.9327413360988679,0.9327464835412497,0.9214126753749395,0.9117438395686516,0.8977792292619203,0.9060209921648962,0.9069441792374769,0.9027384118955217,0.8989799773328296,0.8971184262554369,0.8891409698424821,0.9223901075459656,0.9358347855769749,0.9305229436283878,0.9379771823380846,0.9400208491281273,0.9410197148233749,0.9450155876169072,0.9561742193321141,0.9602459261027876,0.9632043935052531,0.9506651725425969,0.937228582708251,0.9257425742574258
debtEquityRatio,14.072443181818182,10.860258438349835,8.793239386371745,12.520579443550242,13.343589743589744,12.132199730094467,12.603495524024115,12.708252499626921,12.101923239854274,12.837009921972834,12.93648972781312,13.072206378014,13.86797301638291,13.869110979696432,11.72469835016006,10.330653804930332,8.782747603833865,9.640674157303371,9.746238030095759,9.281551221699171,8.899027673896784,8.719913523901033,8.020464986741414,11.884955363032676,14.584768304633908,13.39324076499869,15.123098525626023,15.672460104281877,15.954817987152035,17.18697257383966,21.817619783616692,24.154654654654653,26.17715768981181,19.269656377402445,14.930817610062894,12.466666666666667
longTermDebtToCapitalization,0.3626297095898043,0.2515996009311606,0.19560351259828962,0.25467009425878323,0.24825429153331394,0.2041842082653149,0.14602943470799312,0.1735832768082876,0.13334312357735517,0.14874948749487496,0.13814488585295703,0.20597014925373133,0.2436831875607386,0.2296127562642369,0.17860032362459546,0.1941265385445908,0.07190511489992588,0.10354552780016116,0.11768255884127941,0.14752532008408178,0.13797549967762734,0.14919272430002042,0.15404761776188958,0.16673384880354722,0.19723533378287256,0.23969191952725583,0.37323065639897324,0.2799772468714448,0.38211166975390315,0.44875708678587006,0.36954933008526186,0.37347130761994357,0.4492494639027877,0.4318332230311052,0.4536082474226804,0.5562130177514792
totalDebtToCapitalization,0.5085250919635905,0.29700112457828315,,,,0.5160405454830451,,,,,,,,,,,,0.21043293115684883,0.2215122470713525,0.2838336811687269,0.22282503390815733,0.23907877901663316,0.20776658877401866,,,,,,,,,,,,0.5404624277456648,0.6124031007751938
interestCoverage,0,16.20378151260504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
